id;type_sectorisation;secteur_numero;secteur_nom;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_genealogie;meta_resolution;meta_actif;projet_millesime;projet_theme;projet_libelle;projet_localisation;projet_secteur;projet_statut;meta_licence;projet_cout;projet_numero;porteur_collectif;projet_sous_theme;projet_description;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
175;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;aménagement de l'espace public;Aménagement par l’arbre urbain;avenue ST jean;secteur 1;mis au vote;LO;;16;;;face à la résidence des teinturiers manque cruel d'arbres;84007-budgetParticipatif2019;845926.4344047244;6318076.907960038;4.817848;43.946577000022295;43.946577000022295;4.817848
176;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;aménagement de l'espace public;Aménagement du rond-point de l'Amandier;rond point de l'amandier;secteur 2;mis au vote;LO;;28;;;projet vu en 2018 avec le mât;84007-budgetParticipatif2019;848888.9158304625;6317984.429502354;4.854712;43.94512500002231;43.94512500002231;4.854712
177;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;aménagement de l'espace public;Aménagement de la route de Bel Air : plantation d’arbres;route de bel air;secteur 2;mis au vote;LO;;23;;;reboiser pour remplacer les arbres abattus à cause du chancre coloré. Manque de verdure pour les cyclistes..;84007-budgetParticipatif2019;849180.5465609236;6316136.464653793;4.8578019999999995;43.92843700002235;43.92843700002235;4.8578019999999995
180;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;aménagement de l'espace public;Panneaux lumineux d'information  (carrefour Boccace/Folie);rond-point avenue Boccace - avenue de la Folie;secteur 1;mis au vote;LO;;13;Citoyenne Quartier NE;;Panneau lumineux  avec infos qui défilent 24h/24 sur les actions et services du quartier Nord-est;84007-budgetParticipatif2019;846811.835529521;6318164.377580892;4.828899000000001;43.94718000002231;43.94718000002231;4.828899000000001
196;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Aménagement de l’espace public;Hommage aux combattants d'Afrique du Nord;rond point avenue des Vertes rives, chemin des cèdres;secteur 2;mis au vote;LO;;25;ACPG-CATM Anciens combattants;;aménagement d'un rond point des Combattants d'Afrique du Nord;84007-budgetParticipatif2019;850830.6011070212;6317132.15982541;4.878637999999999;43.93704400002232;43.93704400002232;4.878637999999999
197;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Aménagement de l'espace public;Aménagement d'un espace de jeux pour enfants  et  familles;Espace public appartenant à la ville situé entre Birhakeim et rue Gabriel PERI;secteur 2;mis au vote;LO;;18;;;Notre projet est de valoriser cet espace totalement à l'abandon dans notre quartier, pour les habitants et les enfants. Nous souhaitons qu'il y soit aménagé un coin jeux avec tables et bancs pour les familles. Il est important pour nous d'avoir un espace pour se poser et faire jouer nos enfants;84007-budgetParticipatif2019;847111.219740184;6318035.611319026;4.83259;43.9459590000223;43.9459590000223;4.83259
200;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Aménagement de l'espace public;Pose d’une Plancha connectée;Parc Colette ou Pré du curé;secteur 3;mis au vote;LO;;31;;;Sur l'exemple de la plancha installée à la Barbiére offrir le même équipelent aux habitants du quartier;84007-budgetParticipatif2019;844320.6960241257;6316783.200966022;4.797485;43.935268000022326;43.935268000022326;4.797485
203;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Aménagement de l'espace public;Nuit Joyeuse "des éclairages en couleurs"  à Saint Chamand;Avenue Pierre de Coubertin;secteur 2;mis au vote;LO;;26;locataires de Mistral Habitat;;;84007-budgetParticipatif2019;847805.3024052645;6316350.7757088775;4.840744;43.93065500002234;43.93065500002234;4.840744
204;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Aménagement de l'espace public;Sécurisation déplacement vélos avenue Pierre de Coubertin et quartier Saint Chamand      ;Dans les rues du quartier;secteur 2;mis au vote;LO;;27;;;Voir les pistes cyclables et les passages piétons;84007-budgetParticipatif2019;847877.2367141726;6316738.021742388;4.841751999999999;43.93412400002233;43.93412400002233;4.841751999999999
210;;;;20191007154210;20191022091426;;Mairie Avignon;84007;218400075;"- Données fournies par le service métier sous la forme de 2 fichiers (tableau XLS, localisation sous umap)
- Intégration par SIG";;t;2019;Culture / Patrimoine historique;Parcours patrimonial et artistique du quartier de la Porte Saint-Michel et de la place des Corps-Saints;quartier de la Porte Saint Michel : Cité Administrative - rue saint Michel - Cloître des Célestins face arrière (rosace face au 23 rue St Michel) - Chapelle Saint Michel --rue Paul Manivet - Jardin des Monnaies -Place des Corps Saints;secteur 1;mis au vote;LO;;09;Locavore&Bio + T'ES EXTRA ORDINAIRE + Association des commerçants de la Place des Corps Saints ;;1 - cloître des Célestins (rosace) : une exposition dans les airs à construire 2 - marché des peintres et artistes (style place du tertre à Montmartre) 3- des stations à aménager pour déambuler dans les rues ;84007-budgetParticipatif2019;845162.8320238004;6317733.6056994945;4.808240999999999;43.94364600002232;43.94364600002232;4.808240999999999
