id;millesime;num_site;name;name_impression;description;animations;condition_acces;unesco;monument_historique;musee_national;parcours;adresse;logo;tarifs;www;accessibilite;info_mail;info_tel;resa_mail;resa_tel;meta_datcreat;meta_datmaj;meta_datsupp;meta_insee;meta_siren;meta_source;meta_licence;meta_observations;meta_genealogie;meta_mairie_quartier;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
201;2019;2;Metis syndicate (Reggae / Roots/ Dub) 20h-21h30;;;Reggae / Roots/ Dub;20h-21h30;;;;Les inédits 2019;Square Agricol Perdiguier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;844983.7765551114;6317827.751962764;4.80603816741871;43.94452993444699;43.94452993444699;4.80603816741871
202;2019;2;Shaian (Reggae / Roots/ Dub) 21h30-23h;;;Reggae / Roots/ Dub;21h30-23h;;;;Les inédits 2019;Square Agricol Perdiguier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;844983.7765551114;6317827.751962764;4.80603816741871;43.94452993444699;43.94452993444699;4.80603816741871
203;2019;3;Charlotte Adrien () 19h-20h;;;;19h-20h;;;;Les inédits 2019;Place Saint Didier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;845076.3694971987;6318067.567682771;4.807259540398431;43.94666855676764;43.94666855676764;4.807259540398431
194;2019;1;Chorales scolaires (Chants) 10h-16h;;;Chants;10h-16h;;;;Les inédits 2019;Parc Chico Mendès;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;848223.0480410929;6318112.1974808555;4.846457514059679;43.94641497849343;43.94641497849343;4.846457514059679
195;2019;1;Les amis de Theodore (Percussions) 19h-19h30;;;Percussions;19h-19h30;;;;Les inédits 2019;Parc Chico Mendès;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;848223.0480410929;6318112.1974808555;4.846457514059679;43.94641497849343;43.94641497849343;4.846457514059679
196;2019;1;DCN-GANG (Musique urbaine / rap / Hip Hop) 20h-20h30;;;Musique urbaine / rap / Hip Hop;20h-20h30;;;;Les inédits 2019;Parc Chico Mendès;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;848223.0480410929;6318112.1974808555;4.846457514059679;43.94641497849343;43.94641497849343;4.846457514059679
197;2019;1;Skwang (Musique urbaine / rap / Hip Hop) 20h30-21h15;;;Musique urbaine / rap / Hip Hop;20h30-21h15;;;;Les inédits 2019;Parc Chico Mendès;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;848223.0480410929;6318112.1974808555;4.846457514059679;43.94641497849343;43.94641497849343;4.846457514059679
198;2019;2;Chorales scolaires (Chants) 10h-16h;;;Chants;10h-16h;;;;Les inédits 2019;Square Agricol Perdiguier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;844983.7765551114;6317827.751962764;4.80603816741871;43.94452993444699;43.94452993444699;4.80603816741871
199;2019;2;Sophie Midy (Chanson française) 18h-19h;;;Chanson française;18h-19h;;;;Les inédits 2019;Square Agricol Perdiguier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;844983.7765551114;6317827.751962764;4.80603816741871;43.94452993444699;43.94452993444699;4.80603816741871
200;2019;2;Jeanie'Schaker (Reprises rock) 19h-20h;;;Reprises rock;19h-20h;;;;Les inédits 2019;Square Agricol Perdiguier;;;;;;;;;20190606160306;20190606160306;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;;;manuelle;1;;t;84007-feteMusique2019;844983.7765551114;6317827.751962764;4.80603816741871;43.94452993444699;43.94452993444699;4.80603816741871
