id;millesime;num_site;name;name_impression;description;animations;condition_acces;unesco;monument_historique;musee_national;parcours;adresse;logo;tarifs;www;accessibilite;info_mail;info_tel;resa_mail;resa_tel;meta_datcreat;meta_datmaj;meta_datsupp;meta_insee;meta_siren;meta_source;meta_licence;meta_observations;meta_genealogie;meta_mairie_quartier;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
744;2020;21;Pont Saint-Bénezet;Pont Saint-Bénezet;Célèbre pont de la chanson construit à partir de 1177 et remanié fréquemment du XIVe s. au XVIIe s. Chapelle Saint-Bénezet surmontée de la chapelle Saint-Nicolas qui abrite Notre-Dame des Nautoniers.;Visite libre du pont - sans audioguide;" Gratuit ; Samedi et dimanche de 9h à 19h ; fermeture des grille à 18h";t;t;;Hôtel de ville et établissements municipaux;Rue Ferruce - 84000 Avignon;;Gratuit;www.avignon-tourisme.com;;;04.32.74.32.74;;;20200716134747.393582;20200716134747.393582;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844908.7669914523;6318779.733861914;4.8053751978480035;43.95311062578022;43.95311062578022;4.8053751978480035
764;2020;41;Chapelle de l'Oratoire;Chapelle de l'Oratoire;La Chapelle de l’Oratoire d’Avignon est située dans la rue Joseph Vernet. Cet édifice du XVIIIème siècle fut commencé en 1713, repris en 1730 pour être finalement achevé en 1749. Il est classé monument historique depuis 1912.;" Visite libre de la chapelle (sous réserve de surveillance) 



";"Gratuit; Samedi et dimanche de 9h à 18h";;t;;Patrimoine religieux et privé;32 Rue Joseph Vernet - 84000 Avignon;;Gratuit;www.saintagricol.paroisse84.fr;Accès handicapés moteurs total ;stagricol.patrimoinevivant@gmail.com;;;;20200716134747.427696;20200716134747.427696;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844755.9303552171;6318304.216676291;4.803336438483493;43.94886368151908;43.94886368151908;4.803336438483493
765;2020;42;Chapelle Saint-Marthe;Chapelle Saint-Marthe;Édifiée en 1751, cette chapelle fut construite sur demande des sœurs de Saint Joseph. Sa façade de deux étages est surmontée d’un fronton triangulaire, et l’intérieur présente un chœur carré à pans coupés. Située derrière l’université, cette église fait désormais office d’aumônerie pour les étudiants, et n’est ouverte que pour les offices. ;" Visite libre de la chapelle (sous réserve de surveillance)


";"Gratuit; Samedi de 15h à 18h";;t;;Patrimoine religieux et privé;Rue Saint Bernard - 84000 Avignon;;Gratuit;www.saintagricol.paroisse84.fr;;stagricol.patrimoinevivant@gmail.com;;;;20200716134747.429167;20200716134747.429167;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;845838.3688892444;6318506.730209221;4.816874509504538;43.95046246039767;43.95046246039767;4.816874509504538
727;2020;3;Expositions et projection à  l’Hôtel de Ville;Expositions et projection à  l’Hôtel de Ville;"Péristyle bas de la Mairie : « Le forum gallo-romain d’Avignon ». Une petite exposition de panneaux vous présentera le forum gallo-romain d’Avignon qui prenait place sur le site de la place de l’Horloge. - Péristyle haut de la Mairie : « Le projet Transformations est né de l’envie de documenter la rénovation du centre social Rocade connu sous le nom d’Espace Pluriel Rocade. Cette rénovation a démarré fin 2019. Un centre social c’est un des lieux de vie du quartier, le lieu du droit commun comme on l’appelle en politique de la Ville. Ce lieu ou les enfants et adultes viennent faire des activités (accompagnement à la scolarité, cours de français, sorties, accompagnement administratif…) est comme son nom l’indique un lieu central du quartier. - Projection dans la salle de l’antichambre :
NOUS la ville est un projet de série documentaire consacrée à Avignon et ses habitants. Il est mené dans le cadre d'un atelier de création avec les étudiants de spécialité cinéma de la classe préparatoire littéraire du lycée Mistral d'Avignon et produit par l’association Anamorphose.";Visite libre;Samedi et dimanche de 10h à 18h;;;;Les inédits 2020;Hôtel de Ville, Place de l’Horloge;;Gratuit;;;;;;;20200716134747.364496;20200716134747.364496;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844936.7308067179;6318378.8006904125;4.8056092676765205;43.94949755514887;43.94949755514887;4.8056092676765205
728;2020;4;Visite et parcours autour du thème Patrimoine et éducation : « apprendre pour la vie! »: Evolution de l’ENSEIGNEMENT AU COURS DES SIECLES A AVIGNON Que nous enseigne l’architecture ?;Visite et parcours autour du thème Patrimoine et éducation : « apprendre pour la vie! »: Evolution de l’ENSEIGNEMENT AU COURS DES SIECLES A AVIGNON Que nous enseigne l’architecture ?; Evolution de l’enseignement au cours des siècles à Avignon : Une visite sur le thème des lieux et modèles d’enseignement anciens et nouveaux à Avignon. L’enseignement a évolué au cours des siècles et a connu de véritables révolutions scolaires.- Que nous enseigne l’architecture : Une visite sur le thème de la transmission des connaissances à travers l’architecture. Que nous enseignent les façades sur le pouvoir, le statut social des occupants des différents lieux, sur l’évolution de la société et des attentes des populations;Evolution de l’enseignement au cours des siècles à Avignon : Départs : Samedi 19 et dimanche 20 septembre 2020 à 10h00 de l’Office de Tourisme – 41 cours Jean Jaurès – Avignon Durée : 2h15 à 2h30 - Que nous enseigne l’architecture : Départs : Samedi 19 et dimanche 20 septembre 2020 à 14h30 de la place du Palais des Papes- devant la porte du Centre International des Congrès  Durée : 1H30;Sur inscription obligatoire à l’Office de Tourisme d’Avignon par téléphone ou aux banques d’accueil– tél. 04 32 74 32 74 Nombre de participants par visite : 25 Les visites sont gratuites et encadrées par un conférencier d’Avignon Tourisme;;;;Les inédits 2020;41 cours jean jaurès;;gratuit;;;;04 32 74 32 74 ;;04 32 74 32 74 ;20200716134747.366241;20200716134747.366241;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844955.4154498554;6317876.903423018;4.805699;43.9449780000223;43.9449780000223;4.805699
729;2020;5;Bains Pommer  ;Bains Pommer  ;"L’ouverture des Bains Pommer est proposée samedi 19 et dimanche 20 septembre de 14h à 17h 
Haut lieu de la société avignonnaise dès la fin du XIXe siècle, les Bains Pommer est un lieu unique en France. Resté figé dans le temps depuis sa fermeture dans les années 1970, il est le seul exemple encore intact de bains publics. Dans son décor Belle Epoque, découvrez cette institution incontournable qui fait partie de l’Histoire de la ville.
";Visite les samedi 19 et dimanche 20 de 14h à 17h par groupe de 15 personnes. Inscription Obligatoire;Sur inscription www.avignon-tourisme.com, par téléphone au 04 32 74 32 74 et sur place à l’Office de Tourisme d’Avignon – 41 cours Jean Jaurès;;;;Les inédits 2020;25 rue du Four de la terre ;;gratuit;;;;04 32 74 32 74 ;www.avignon-tourisme.com;04 32 74 32 74 ;20200716134747.367901;20200716134747.367901;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;845425.5566024152;6318142.366723746;4.811629318021225;43.94726953770696;43.94726953770696;4.811629318021225
730;2020;6;Découverte du jardin de l’Hôtel de Beaumont;Découverte du jardin de l’Hôtel de Beaumont;Hôtel Azémar, hôtel qui a connu comme illustre locataire le Cardinal de Richelieu lors de son exil à Avignon en 1618 et 1619. Le sol, les murs et la fontaine du jardin, classés, sont présentés au public dans leur cadre de verdure nouvellement entretenu.;-          visite par groupe de 15 visiteurs maximum toutes les vingt minutes;"Non accessible aux personnes à mobilités réduites
Gratuit sans réservation
04 90 80 80 07 
";;;;Les inédits 2020;9 rue de la Croix  ;;gratuit;;Non accessible aux personnes à mobilités réduites;;04 90 80 80 07 ;;;20200716134747.369385;20200716134747.369385;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;845307.5328447722;6318413.571626151;4.810236999999999;43.94973400002229;43.94973400002229;4.810236999999999
737;2020;14;Musée Lapidaire;Musée Lapidaire;"Collections archéologiques
C’est au sein de l’ancienne chapelle du collège des Jésuites sur l’axe principal d’Avignon, que sont conservées depuis 1933, les œuvres  antiques. Ce fleuron de l’architecture baroque est l’œuvre de deux éminents architectes, Etienne Martellange et François des Royers de la Valfenière. La construction débute en 1620 sous l’égide de Martellange. L’édifice est consacré  en 1655. A côté des sculptures celtiques comprenant  un unicum,  la fameuse «  Tarasque » de Noves,  la collection compte de nombreuses œuvres gallo- romaines, de provenance régionale pour nombre d’entre elles. La présentation actuelle donne à voir un magnifique et rare ensemble de reliefs funéraires, votifs grecs. Des sculptures égyptiennes, une mosaïque gallo- romaine, récemment installée dans le chœur de l’édifice, complètent le panorama des civilisations de l’Antiquité. Exposition La chanson du potier
Dans le cadre du Grand Angle, « L’atelier », le musée Lapidaire présente « La chanson du potier ».    La manifestation réunit des aquarelles de Marie Portefaix évoquant la fabrication, les formes, le décor des vases grecs à figures noires et rouges. XXXX
Dans la Grèce antique, le métier de potier et de peintre de vases ne jouit pas du prestige lié à celui du sculpteur ou d’architecte. Exercé en général par des esclaves, souvent de génération en génération, cette activité pénible est concentrée à Athènes dans un quartier périphérique, baptisé dans l’Antiquité, «  le Céramique ». Sur une plaque corinthienne archaïque, provenant du sanctuaire de Poséidon et Amphitrite  à Penteskouphia sur le territoire de Corinthe et représentant l’extraction de l’argile, le peintre a doté l’ouvrier d’un sexe énorme, mettant en exergue sa condition misérable. Le statut de peintre sur chevalet bénéficiait de davantage de considération. 
En préambule à cet évènement, le musée célèbre une autre manière de travailler l’argile préparée et affinée, keramos en grec et met à l’honneur  le savoir- faire des coroplathes grecs, à savoir les fabricants de figurines en plâtre, cire, terre. Au fil des siècles et suivant les centres de production, les figurines façonnées par ces praticiens, recouvrent des types d’une grande variété -divinités féminines et masculines, groupes, femmes debout drapées, musiciens, comédiens -et remplissaient de multiples usages : votif, funéraire, voire décoratif. Toutefois, faute de contexte, la destination primitive de ces statuettes demeure le plus souvent indéchiffrable

";"Samedi 19 septembre à 14H 30 : Lecture de Charlotte Adrien «  L’art des contours » Lectures  de textes d’auteurs grecs et latins sur la peinture dans l’ Antiquité
- Dimanche  à 11H une visite guidés des collections permanentes et de l’exposition avec la conservatrice en cheffe
- Visite libre des collections permanentes samedi 19 et dimanche 20 de 10h-13h/14h-18h 
";"Gratuit; 

1- Samedi et dimanche de 10h à 13h et de 14h à 18h 

2- Samedi et dimanche de 11h30 à 12h30 ";;t;t;Hôtel de ville et établissements municipaux;27  Rue de la République- 84000 Avignon;;Gratuit;http://www.musee-lapidaire.org/;Accès handicapé moteur partiel;;04.90.85.75.38;;04.90.85.75.38;20200716134747.380213;20200716134747.380213;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844971.5869802027;6317978.071624687;4.8059291950289404;43.94588490959521;43.94588490959521;4.8059291950289404
733;2020;10;La Manutention et la Chapelle Saint Michel;La Manutention/ Chapelle Saint Michel;"SEPT EN SEPTEMBRE 
Sept artistes visuels, photographes et plasticien, exposent dans 2 lieux patrimoniaux d’Avignon : la chapelle Saint-Michel et la salle de la Manutention. Un éventail de propositions artistiques. 
Chapelle Saint-Michel : Yann Chaplet : 28 mm. Un voyage authentique dans les rues / Marise Laget : Le monde à mes pieds / Patricio Palomo : Les envolées de Patopalomo / Jean-Pierre Rieu : Mondes perdus / La Manutention : Sylvain Bernard : Tempête hivernale / James Jaulin : Le vieux train de Diredawa / Marie-France Zumaquero : Passation ";Visite libre;" Gratuit ;  Samedi et dimanche de 10h à 20h";;;;Les expositions du Quartet;Manutention 4, Rue des Escaliers Sainte-Anne, 84000- Académie des arts d'Avignon Chapelle Saint Michel Place des Corps Saints;;Gratuit;;;;;;;20200716134747.374054;20200716134747.374054;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;845184.0576373492;6318607.236631035;4.808754543968864;43.951501922496796;43.951501922496796;4.808754543968864
734;2020;11;Cloître Saint-Louis;Cloître Saint-Louis;"« France-Chili, Aquarelle » Société française de l’Aquarelle
 La Société Française de l’Aquarelle accueillera la « Fundación Museo Casa de la Acuarela » de Santiago du Chili. Ainsi, une cinquantaine d’aquarellistes français seront reçus, et leurs quelques 200 œuvres, ainsi que les 44 œuvres de peintres chiliens qui seront exposées à leurs côtés au Cloître St Louis. 
En échange, 44 œuvres des membres de la Société Française de l’Aquarelle seront exposées au Chili du 19/11/2020 au 06/02/2021, à l'université de Talca, Maule. 
Pour les remercier de leur présence en France, une installation de 70 petits formats sera présentée pour honorer le Chili, en illustrant cette phrase de Pablo Neruda : 
“Nous sommes aujourd’hui: hier, doucement, a chu entre des doigts de jour et des yeux de sommeil, demain arrivera de sa verte démarche, et nul n’arrêtera le fleuve de l’aurore” Pablo Neruda.
";Visite libre ;"Gratuit ; mardi au dimanche de 14h à 18h30  ";;;;Les expositions du Quartet;20 rue du Portail Boquier - 84000 Avignon ;;Gratuit;;;;;;;20200716134747.37553;20200716134747.37553;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;Tableau XLS du service métier, intégration et gécodage SIG;Avignon Intra muros;manuelle;1.0;;t;84007-journeesPatrimoine2020;844868.2885358959;6317743.469154993;4.804576064203395;43.94379538011177;43.94379538011177;4.804576064203395
