id;libelle;txt;lib_ref_merimee;lib_num_mh;lib_datation;lib_prescription_particuliere;lib_adresse;lib_url_merimee;lib_protection;lib_patrimoine_mondial;lib_autre_nom;lib_url_photo;lib_ref_cadastrale;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_genealogie;meta_resolution;meta_observations;etiq_x;etiq_y;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"1";"Ancienne abbaye Saint-Ruf";"Ancienne abbaye Saint-Ruf";"";"";"";"Restes de l'abbaye";"";"";"Classé par arrêté du 01/01/1887";"";"";"";"Cad. HO 331.";"84007";"218400075";"20100113000000";"20100113000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""01/01/1887"",id_dde84=""AC1__-1887____-001"",saisie_sup=""20100113"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"845562.9718103238";"6316536.789544674";"4.812881431311278";"43.932795418966805";"43.932795418966805";"4.812881431311278"
"2";"Ancien couvent de Notre-Dame de Montfavet";"Ancien couvent de Notre-Dame de Montfavet";"";"";"";"Eglise et tours  annexées";"";"";"Classé par arrêté du 20/07/1908";"";"";"";"Cad. BE 59.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""20/07/1908"",id_dde84=""AC1__-19080720-001"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"850214.5173362074";"6316975.215130238";"4.8709210713457125";"43.935763591158356";"43.935763591158356";"4.8709210713457125"
"3";"Maison, 13bis, place Saint-Joseph";"Maison, 13bis, place Saint-Joseph";"";"";"";"Plaque de faïence datée de 1757, ayant servi d'enseigne à la fabrique de Carbonel, encastrée dans la façade";"";"";"Inscrit par arrêté du 02/12/1932";"";"";"";"Cad.";"84007";"218400075";"20100507000000";"20100507000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""02/12/1932"",id_dde84=""AC1__-19321202-001"",saisie_sup=""20100507"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"844383.8920090937";"6316749.075347509";"4.798262143368115";"43.93494801550466";"43.93494801550466";"4.798262143368115"
"4";"Chapelle de la Chartreuse de Bonpas";"Chapelle de la Chartreuse de Bonpas";"";"";"";"";"";"";"Inscrit par arrêté du 02/12/1950";"";"";"";"Cad.";"84007";"218400075";"20090724000000";"20090724000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""02/12/1950"",id_dde84=""AC1__-19501202-002"",saisie_sup=""20090724"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"854757.6513097729";"6311874.469081748";"4.925934439626041";"43.88889007899692";"43.88889007899692";"4.925934439626041"
"5";"Ancienne fontaine couverte";"Ancienne fontaine couverte";"";"";"";"";"";"";"Inscrit par arrêté du 18/09/1952";"";"";"";"Domaine public non cadrastré";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""18/09/1952"",id_dde84=""AC1__-19520918-001"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"847059.0372324691";"6317378.710085811";"4.8317503906017345";"43.94005963185409";"43.94005963185409";"4.8317503906017345"
"6";"Lycée agricole de Cantarel";"Lycée agricole de Cantarel";"";"";"";"";"";"";"Inscrit par arrêté du 16/11/1989";"";"";"";"Cad. BP 84.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""16/11/1989"",id_dde84=""AC1__-19891116-003"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"851292.6065975619";"6314087.589576837";"4.883485874629152";"43.90955310882556";"43.90955310882556";"4.883485874629152"
"12";"Domaine de la Durette";"Domaine de la Durette";"";"";"";"Façades et toitures  et anciens communs : chapelle en totalité, parc paysager, cour des anciens communs, murs de clôture et leurs portails";"";"";"Inscrit par arrêté du 02/08/1996";"";"";"";"Cad. BZ 148 et 150.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""02/08/1996"",id_dde84=""AC1__-19960802-001"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"849762.0428695066";"6314919.520950304";"4.864683089876758";"43.91736481243186";"43.91736481243186";"4.864683089876758"
"13";"Domaine de la Grande Castelette";"Domaine de la Grande Castelette";"";"";"";"Façades et toitures et anciens bâtis";"";"";"Inscrit par arrêté du 02/08/1996";"";"";"";"Cad. CD 42,163,198 et 201.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""02/08/1996"",id_dde84=""AC1__-19960802-002"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"850607.2655889231";"6314951.362966804";"4.875212403075311";"43.91747117575476";"43.91747117575476";"4.875212403075311"
"14";"Domaine de Bouchony";"Domaine de Bouchony";"";"";"";"L'ensemble bâti constituant le domaine, ainsi que les anciens jardins, les alignements de haies subsistants, le réseau hydraulique et le sol des cours";"";"";"Inscrit par arrêté du 13/01/1997";"";"";"";"Cad. AS 63,64 et 65.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""13/01/1997"",id_dde84=""AC1__-19970113-003"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"847672.7917269715";"6320585.276192484";"4.840323184480191";"43.96878144714583";"43.96878144714583";"4.840323184480191"
"7";"Ancien couvent Sainte-Praxède";"Ancien couvent Sainte-Praxède";"";"";"";"Tour d'Espagne";"";"";"Inscrit par arrêté du 23/04/1953";"";"";"";"Cad. BE 247.";"84007";"218400075";"20100413000000";"20100413000000";"";"DDT84";"Servitutes AC1 fournies par la DDT84 à la Ville d'Avignon pour sa gestion du PLU numérisé.";"1/2000";"num_acte=""23/04/1953"",id_dde84=""AC1__-19530423-001"",saisie_sup=""20100413"",nom_min=""CULTURE"",docoriginal_ref=""Site Internet : www.culture.gouv.fr"",nom_gest_1=""SDAP""";"";"";"t";"849870.4533222303";"6317371.523865329";"4.866754024944914";"43.93940248281779";"43.93940248281779";"4.866754024944914"
