id;millesime;num_site;name;name_impression;description;animations;condition_acces;unesco;monument_historique;musee_national;parcours;adresse;logo;tarifs;www;accessibilite;info_mail;info_tel;resa_mail;resa_tel;meta_datcreat;meta_datmaj;meta_datsupp;meta_insee;meta_siren;meta_source;meta_licence;meta_observations;meta_genealogie;meta_mairie_quartier;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
77;2019;1;Musée Calvet;;"Musée des beaux-arts et d’archéologie d’Avignon
Ecrin architectural tant palladien que versaillais, l’hôtel de Villeneuve-Martignan offre un témoignage remarquable d’une demeure seigneuriale en Provence. Le musée Calvet expose une collection encyclopédique qui couvre tous les domaines aussi bien dans la peinture française, italienne, flamande ou moderne que la sculpture, les arts décoratifs, l’ethnologie ou les faïences et porcelaines. 
C’est au début du XVIIIe siècle que l’édifice prendra une forme solennelle et majestueuse, les travaux sont dirigés par l’architecte Jean-Baptiste Franque qui proposera aux commanditaires Joseph Ignace de Villeneuve-Martignan et son épouse Henriette Victoire de Sade un bâti entre cour d’honneur et jardins à la française au cœur d’Avignon. Le salon d’accueil et l’escalier desservant la galerie Vernet témoignent des réalisations du siècle des lumières. 
Le jardin, d’une surface exceptionnelle, ombragé par des platanes centenaires, est un espace propice à l’organisation d’évènements privés. 
Au cours des deux siècles écoulés, le musée Calvet s'est enrichi de nombreuses œuvres, par don, dépôt ou achat. Les peintres Carle et Horace Vernet furent, avec leur ami Esprit Requien, à l'origine de la galerie de tableaux. On doit notamment à Horace Vernet le don en 1846 de La Mort du jeune Bara, un des chefs-d'œuvre de David. Le musée du Louvre a enrichi le fonds par un très important dépôt d’œuvres d’Hubert Robert. Des peintres et sculpteurs tels que Pradier, Chassériau, Cléssinger, Manet, Bonnard, Camille Claudel et bien d'autres artistes forment aujourd'hui un ensemble de haute qualité.
Le musée Calvet compte aussi une belle collection d’art moderne dont un dessin de Cézanne, deux de Modigliani, des peintures de Dufy, Utrillo, un extraordinaire Vlaminck et cinq Soutine, vrais chefs-d’œuvre, uniques en France hors de Paris.
";"10h30:Vernissage des salles consacrées à l'art religieux 14h : Ouverture au public des salles A l’occasion de la nuit des Musées, le musée Calvet propose de découvrir un nouveau parcours thématique et chronologique consacré à l’art du religieux, enrichi d’œuvres jusque-là conservées en réserve ou récemment restaurées. De 20h30 à 22h : Messaien et ses influences littéraires Lecture de Marie-Christine BARRAULT accompagnée de Pascal CONTE au musée Calvet De 20h00 à 23h20 : Dans le cadre de la nuit des musées 2019, les ateliers d’écriture donneront lieu à une restitution publique qui revêtira la forme de lectures publiques d’une sélection de textes, opérée par les participants à l’opération. Durée : 20 minutes par musée. 23h à 23h20 : Restitution des ateliers d’écriture de Mme RONZIER au musée Calvet 
Concert Lecture récitante et accordéon
Lecture de Marie-Christine BARRAULT accompagnée de Pascal CONTE au musée Calvet";Entrée libre de 20 heures à minuit pour les Musées de la Ville d'Avignon;;;t;Avignon Musées;65, Rue Joseph Vernet - 84 000 Avignon;;Gratuit;www.musee-calvet.org;f;musee.calvet@mairie-avignon.com;04.30.86.33.84;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844767.3359624147;6318096.894525303;4.803419500000007;43.946996000022295;43.946996000022295;4.803419500000007
78;2019;2;Musée Lapidaire;;"Galerie des Antiques du musée Calvet 
C’est au sein de l’ancienne chapelle du collège des Jésuites  sur l’axe principal d’Avignon, que sont conservées depuis 1933, les œuvres  antiques, présentées jusqu’alors dans  la salle du Moyen- Age et  la Cour d’Honneur du Musée Calvet. Ce fleuron de l’architecture baroque est l’œuvre de deux grands architectes, Etienne Martellange et François des Royers de la Valfenière. La construction a débuté en 1620 et  1655, date de la consécration. Si le  plan de l’édifice  est d’une grande sobriété, l’aspect  de la frise au dessus des tribunes, frappe par sa richesse plastique et ce foisonnement témoigne d’une reprise du décor, intervenue dans la seconde moitié du XVIIè siècle. Dans ce vaste espace, les salles de la partie gauche de la nef, achevées en 2014, accueillent un remarquable ensemble  de reliefs  funéraires, votifs grecs, des  vases attiques, corinthiens, italiotes, des terres cuites et quelques œuvres en ronde bosse dont un original grec de la période hellénistique. La partie droite donne à voir  des sculptures de la Rome impériale dont une monumentale statue de femme drapée, provenant de la  prestigieuse collection du cardinal de Richelieu. La section celtique comporte deux pièces exceptionnelles, la «  Tarasque » de Noves, monstre androphage et la statue de « guerrier » de Mondragon. D’abondantes  séries d’inscriptions, de statues ou d’éléments de décor architectural de la Gaule romaine, fruit de découvertes accomplies dans le Vaucluse dès le XIXè siècle, complètent le panorama de la civilisation gallo- romaine.
La naissance  de la collection remonte  au cabinet de curiosités d’Esprit Calvet, (1728-1810), le fondateur du musée qui porte son nom. La collection a été enrichie aux XIXè et XXè siècles par d’innombrables achats, notamment en 1841, celui d’une partie de la collection vénitienne des Nani di San Trovaso mais également par des donations, telle celle consentie en 1986 par le grand collectionneur, Marcel Puech. En 2018, une sélection d’œuvres égyptiennes, abritées jusqu’alors au Musée  Calvet, a rejoint le lieu.

";Dans le cadre de la programmation d'Avignon Musées, la Ville d'Avignon propose une exposition, To be or not to be, de grandes toiles d'Aki Kuroda matérialisant la conversation entre l'artiste japonais et la collection d'Antiques exposées au Musée du Lapidaire, exposition du 16 Mai jusqu'au 29 Septembre. De 20h00 à 23h20 : Dans le cadre de la nuit des musées 2019, les ateliers d’écriture donneront lieu à une restitution publique qui revêtira la forme de lectures publiques d’une sélection de textes, opérée par les participants à l’opération. Durée : 20 minutes par musée. 21h30 à 21h50 : Restitution des ateliers d’écriture de Mme RONZIER au musée Lapidaire ;Entrée libre de 20 heures à minuit pour les Musées de la Ville d'Avignon;;;t;Avignon Musées;27, Rue de la République- 84 000 Avignon;;Gratuit;http://www.musee-lapidaire.org/;t;;04.90.85.75.38;;04.90.85.75.38;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844971.5869802027;6317978.071624687;4.8059291950289404;43.94588490959521;43.94588490959521;4.8059291950289404
79;2019;3;Musée du Petit Palais;;Installé dans l’ancien palais des archevêques dont la construction commence au début du XIVe s. lors de l’installation de la papauté à Avignon, le musée du Petit Palais jouit d’un emplacement prestigieux sur la place du Palais des Papes, au cœur du périmètre du site classé au patrimoine mondial de l’UNESCO. Ouvert depuis 1976, le musée présente des collections provenant de deux origines distinctes : la collection de peintures italiennes rassemblées par le marquis Campana dans la première moitié du XIXe s., constituant un dépôt exceptionnel du musée du Louvre et un ensemble de peintures et de sculptures provençales du Moyen Âge déposées par la Fondation Calvet. ;De 20h00 à 23h20 : Dans le cadre de la nuit des musées 2019, les ateliers d’écriture donneront lieu à une restitution publique qui revêtira la forme de lectures publiques d’une sélection de textes, opérée par les participants à l’opération. Durée : 20 minutes par musée. 20h à 20h20 : Restitution des ateliers d’écriture de Mme RONZIER au Petit Palais ;Entrée libre de 20 heures à minuit pour les Musées de la Ville d'Avignon;t;;t;Avignon Musées; Place du Palais des Papes - 84 000 Avignon;"


";Gratuit;www.petit-palais.org;f;musee.petitpalais@mairie-avignon.com;04.90.86.44.58;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845011.5202745146;6318725.264562948;4.80663939999999;43.95259940002227;43.95259940002227;4.80663939999999
80;2019;4;Musée d'histoire naturelle (Esprit Requien);;Ancien Hôtel de Raphaélis de Soissans (XVIIIe s.). Le musée d’Histoire naturelle d’Avignon fut créé par Esprit Requien en 1840 et porte désormais le nom de ce naturaliste célèbre du XIXe siècle (1788-1851). Botaniste, il constitua un herbier qui est considéré de nos jours comme une référence internationale du fait de la présence de nombreux taxons ayant permis de définir des espèces nouvelles.;De 20h00 à 23h20 : Dans le cadre de la nuit des musées 2019, les ateliers d’écriture donneront lieu à une restitution publique qui revêtira la forme de lectures publiques d’une sélection de textes, opérée par les participants à l’opération. Durée : 20 minutes par musée. 20h45 à 21h05 : Restitution des ateliers d’écriture de Mme RONZIER au musée Requien ;Entrée libre de 20 heures à minuit pour les Musées de la Ville d'Avignon;;;t;Avignon Musées;67, Rue Joseph Vernet - 84 000 Avignon;;Gratuit;www.museum-requien.org;t;musee.requien@mairie-avignon.com;04.90.82.43.51;;04.90.82.43.51;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844770.1587528733;6318069.370246208;4.803446822528538;43.94674777611565;43.94674777611565;4.803446822528538
81;2019;5;Palais du Roure;;"Demeure d’atmosphère - Centre de culture provençale 
À proximité de la rue de la République, on découvre une porte cochère surmontée d’entrelacs de feuilles de mûriers sculptées. En la franchissant, on quitte le temps. Derrière elle se laisse goûter la beauté et le calme de l’hôtel de Baroncelli-Javon.
Il fut pendant cinq siècles la résidence des Baroncelli (1462-1907), famille noble d’origine florentine. Construit dans le style du gothique tardif, il fut remanié vers 1700. Vers 1890, Frédéric Mistral, habitué des lieux, devait lui donner son nom de Palais du Roure, suite à une confusion. Au début du XXe s., la famille, ruinée, dut se résigner à vendre l’hôtel, qui connut alors dix ans de vicissitudes. En 1918, Jeanne de Flandreysy (1874-1959) l’achetait, le restaurait, le faisait refleurir, avant de le donner à la Ville d’Avignon en 1959.
De ce passé privé, l’hôtel a conservé son esprit de demeure habitée, où les collections sont présentées naturellement. Amie de Frédéric Mistral et de Folco de Baroncelli, passionnée de culture latine, Jeanne de Flandreysy en fit à la fois un musée, une bibliothèque et un centre d’études réputés, à la gloire de la Provence et des cultures latines en général. En 1936, elle épousa Émile Espérandieu (1857-1939), archéologue de grand renom, dont les archives, les collections et la bibliothèque archéologiques vinrent rehausser le prestige des lieux.
Enrichie depuis 1959 de nombreux dons, comme celui des archives personnelles de la famille Baroncelli depuis le XIVe s., la demeure continue ainsi de vivre, se distinguant par l’âme particulière que l’on y ressent.

";De 20h00 à 23h20 : Dans le cadre de la nuit des musées 2019, les ateliers d’écriture donneront lieu à une restitution publique qui revêtira la forme de lectures publiques d’une sélection de textes, opérée par les participants à l’opération. Durée : 20 minutes par musée. 22h15 à 22h35 : Restitution des ateliers d’écriture de Mme RONZIER au Palais du Roure ;Entrée libre de 20 heures à minuit pour les Musées de la Ville d'Avignon;;;t;Avignon Musées;"3, rue Collège du Roure
84000 Avignon
Tel : +33 (0)4 13 60 50 01
palais.roure@mairie-avignon.com";;Gratuit;;t;palais.roure@mairie-avignon.com;;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844932.3020000439;6318268.584245614;4.80552272271288;43.948506817197284;43.948506817197284;4.80552272271288
82;2019;6;Palais Des Papes;;Le Palais des Papes est le puissant témoin d'un XIVe  siècle qui fait d'Avignon, avec la venue des Papes et durant presque cent ans, la capitale de la Chrétienté. Cette colossale forteresse, à la fois demeure du Pape et siège du gouvernement pontifical, fut déjà considérée par les contemporains comme "la plus belle et la plus forte maison du monde" (Froissart). Sa construction s’effectue en moins de 20 ans, de 1335 à 1352. Elle est l’œuvre principalement de deux papes : Benoît XII, qui fait construire un riche et imposant palais pontifical (dit Palais Vieux), et Clément VI, qui fait édifier l’opus Novum (dit Palais Neuf) qui témoigne d’un esprit architectural nouveau à la mesure de ce prince de l’église. La Cour d'Honneur, qui doit sa célébrité théâtrale à Jean Vilar est, depuis 1947, le lieu emblématique du Festival d'Avignon. ;"Parcours : 
Une partie du Palais des Papes sera ouverte à la visite.
Les visiteurs pourront découvrir la Grande Audience et la Grande Chapelle et poursuivre par la Chambre Neuve du Camérier. La salle du Conclave et la galerie du Conclave, habituellement non accessibles, seront exceptionnellement ouvertes à la visite. La fin du circuit permettra de découvrir la salle du Conclave dans laquelle sera projeté le film  Un chantier 2 tours relatant la restauration des tours du Pape et de la Garde Robe qui vient de s’achever, la galerie haute du Cloître et le Grand Tinel.

Animation :
• Salle du Conclave : projection du film Un chantier 2 tours : histoire de la restauration des tours du Pape et de la Garde Robe




";"Entrée gratuite par l’escalier en bois sur la place du Palais des papes/ sortie par la porte d’accès du Centre des Congrès) 
>> 20h – Minuit Attention dernière admission 23h
>> Attention pas de remise d’Histopad

";t;;t;Avignon Musées;;;gratuit;http://www.palais-des-papes.com/fr;f;www.palais-des-papes.com;04.32.74.32.74 ;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845056.3054581777;6318499.591833494;4.807132831403484;43.9505597326895;43.9505597326895;4.807132831403484
83;2019;7;Collection Lambert;;;"19h00 Famili’Art
Profitez de la nuit des musées pour venir en famille découvrir les oeuvres de manière ludique et adaptée pour les grands et les petits, ponctuée de moments de croquis. Regarder, réfléchir, comprendre, aimer, s’amuser seront les maîtres-mots de cette visite nocturne !
 Tarif 2 euros/gratuit pour les enfants de moins de12ans
Réservation : celia.collectionlambert@gmail.com
20h00 Ateliers des petits fripons
Pour la nuit des musées, les fripons sont invités à transformer la Collection Lambert en acropole. En s’inspirant des héros de l’exposition Le Lacrime dei poeti, ils pourront carrément fabriquer leur propre costume antique ! Pas de panique pour ceux qui craignent une guerre de Troie, il y aura aussi une team “Ecole d’Athènes“.
Durée 1 heure 30 Tarif  5 € A partir de 6 ans  
 Réservation : a.durel@collectionlambert.com
20h30 Projection à l’auditorium Durée 1h19 Droit d’entrée Sans réservation
Projection du film BASQUIAT, un adolescent à New-york de Sara Driver. BASQUIAT éclaire la courte vie du peintre culte Jean-Michel Basquiat au sien de la Ville de New-York de 1978 à 1981 et explore tout ce qui, dans cette métropoleà travers ses rencontres et les mouvements politiques, sociaux et culturels, l’a nourri et inspiré.
22h00 visite commentée de la nuit des musées La Collection Lambert propose une découverte des œuvres de l’exposition consacrée à Francesco Vezzoli. Plongez dans l’univers de cet artiste italien, où sculptures antiques et art contemporain cohabitent avec poésie à travers ses œuvres et celles de Cy Twombly, Louise Lawler et Giulio Paolini.
Durée 1 heure Tarif  2€ - pas de supplément pour la visite
 Réservation : a.arvis@collectionlmbert.com
De 19h00 à 23h00 : parcours libre dans le musée et projection vidéo dans l’auditorium. Tarif nuit des musées : 2€ / gratuit pour les moins de 12 ans. 
";"19h00 Famili’Art 2 euros/gratuit pour les enfants de moins de12ans 22h00 visite commentée de la nuit des musées
Réservation : celia.collectionlambert@gmail.com 20h00 Ateliers des petits fripons Durée 1 heure 30  A partir de 6 ans  |  5 €  Réservation : a.durel@collectionlambert.com 22h00 visite commentée de la nuit des musées Durée 1 heure 2€ - pas de supplément pour la visite
 Réservation : a.arvis@collectionlambert.com";;;;Autre musées et sites partenaires;5 rue Violette - 84 000 Avignon;;;http://www.collectionlambert.fr/;f;;04 90 85 42 65;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844802.4949545802;6317877.679765377;4.803794964445415;43.94501643694468;43.94501643694468;4.803794964445415
84;2019;8;Musée Vouland;;Le Musée Vouland ou « maison du XVIIIe siècle » évoque la demeure de l’industriel de l’agro-alimentaire et collectionneur provençal Louis VOULAND (1883-1973). Une atmosphère intimiste et exotique émane du lieu, mobilier et objets d’art exceptionnels, chaise à porteurs, sièges et commodes, encoignures et secrétaires, chambre chinoise. Les faïences, de Marseille, Moustiers, Montpellier, Lyon... dialoguent avec les porcelaines d’Extrême-Orient et de Sèvres, dont celles du coffret de voyage de Madame Du Barry. ;"18h45-23h au Musée, l'art est un jeu !
Une nuit en partenariat avec La Chartreuse, le Lycée Mistral et le Collège du Mourion 
 19h et 20h Un persan au musée !  19h15 Visite de l'exposition Yuan Chin-taa, L'art est un jeu par Odile Guichard, commissaire (sur reservation)    
21 et 22h Des choses et des mots Lecture théâtralisée
Restitution d’un atelier d’écriture à partir des collections permanentes du Musée Vouland
de 18h45 à 23h  Visite libre des collections permanentes, de l’exposition et du jardin. 
19h15  Visite de l’exposition Yuan Chin-taa, 袁金塔 L’art est un jeu  par Odile Guichard, commissaire (sur réservation)
";19h15 visite sur reservation;;;;Autre musées et sites partenaires; 17 rue Victor ;;Tout public Participation libre;www.vouland.com  ;f; musee.vouland@wanadoo.fr ;04 90 86 03 79 ;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;844541.0460147109;6318127.149762244;4.800610094596972;43.94731468698438;43.94731468698438;4.800610094596972
85;2019;9;Maison Jean Vilar;;;"19h 21h : La nuit des musées à la Maison Jean Vilar
Signé Jacno Un graphisme brut pour un théâtre populaire de 19h à 21h
Affiches, dessins préparatoires, maquettes, revues et autres objets précieux et familiers rendent hommage au graphiste de Jean Vilar. Marcel Jacno qui a redessiné le paquet de Gauloises, créé le tampon du TNP et l’identité graphique de nombreux autres théâtres, a aussi donné au Festival les trois clefs de sa légende.
Association Jean Vilar - Commissariat et scénographie Jean-Pierre Mouléres assisté de Julia Gensbeitel Ortiz et Francis Mercier
";entrée libre;;;;Autre musées et sites partenaires;8 rue de mons;;entrée libre;https://maisonjeanvilar.org/;f;accueil@maisonjeanvilar.org;04 90 86 59 64 ;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845016.1262170955;6318353.8028109865;4.806590899999993;43.94925630002228;43.94925630002228;4.806590899999993
86;2019;10;Musée Angladon Collection Jacques Doucet;;;"19h à 22h. Une soirée dessinée Collectif Les Soirées dessinées. 
Depuis 2013, Les soirées dessinées cherchent à valoriser le dessin au sein de l’art contemporain, à travers des performances de dessins en public. 

Les soirées dessinées est un concept développé par un collectif d’artistes, de graphistes et de vidéastes originaires de la banlieue parisienne. La performance réunit quatre artistes, Jean Marc Forax, Céline Normant, Sylvain Royer et Aurélie Bauer, qui dessinent publiquement, le temps d’une soirée, sur un immense rouleau de papier tendu sur le mur. Les visiteurs affluent, regardent les dessins évoluer, partagent un verre dans une ambiance curieuse, festive et musicale.
Une performance librement placée sous le signe de Picasso, dans le Jardin du Musée Angladon.
";Entrée 3 euros gratuit - de 25 ans Soirée dessinée en entrée libre;;;;Autre musées et sites partenaires;5 rue Laboureur ;;Entrée 3 euros gratuit - de 25 ans;https://angladon.com/;f;accueil@angladon.com;04 90 82 29 03 ;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845054.4521785999;6318001.843561717;4.806967872357214;43.946081732764895;43.946081732764895;4.806967872357214
87;2019;11;Archives Départementales du Vaucluse;;"Les archives départementales de Vaucluse, nichées au cœur du Palais des Papes depuis 1883, ouvrent leurs portes à l’occasion de la Nuit des Musées. 

";Dans une ambiance nocturne, elles invitent les visiteurs à découvrir leur univers, des documents d’archives mais aussi la chapelle Benoît XII où sont conservés 2,5 km de sources de l’histoire.;"Entrée libre pour accéder à la chapelle benoit XII, des groupes de 15 personnes seront constitués sur place toutes les 30 minutes

";;;;Autre musées et sites partenaires;Palais des Papes;;Gratuit;;f;archives84@vaucluse.fr;04 90 86 16 18;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845067.6577471842;6318568.340827302;4.807293810325387;43.9511759495897;43.9511759495897;4.807293810325387
88;2019;12;Maison Jean Vilar Antenne de la Bibliothèque Nationale de France;;;"Festival d’Avignon au Cloitre des Carmes : parcours documentaire
Le Cloître des Célestins est un des lieux ""pierre et ciel"" du Festival d’Avignon. Plus de 160 spectacles y ont été présentés depuis 1968. Au moyen des documents d’archives, l’antenne de la BnF illustre ce riche parcours esthétique et théâtral et interroge le rapport entre le cadre patrimonial et la création artistique. 
";visites commentées entrée libre et gratuite  jusqu’à 21 heures;;;;Autre musées et sites partenaires;8 bis rue mons;;Gratuit;https://www.bnf.fr/fr/jean-vilar;f;;;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845016.1262170955;6318353.8028109865;4.806590899999993;43.94925630002228;43.94925630002228;4.806590899999993
89;2019;13;ARDENOME : Ancien Grenier à sel;;;"EXPOSITION SANS GRAVITÉ, une poétique de l’airDAVID COUBES (Electro Acoustique)
Célia Pistono (Flûte traversière)
À cette occasion EDIS invite à l'Ardenome David Coubes pour une performance électroacoustique dans le cadre de l'exposition ""Sans gravité, une poétique de l'air"".
Musicien qui favorise la transdisciplinarité (vidéo, dessin,musique, plasticien, théâtre, danse, opéra…) David Coubes compte de nombreuses collaborations et enseigne la composition électroacoustique/musique assistée par ordinateur au Conservatoire à Rayonnement Régional du Grand Avignon. Célia Pistono, étudiante au conservatoire d'Annecy , interprètera une partition de Sophie Dufeutrelle intitulé ""Couleur Neige"" ainsi que certains extraits de musiques de film comme interstellar ou blade Runner
";Entrée libre;;;;Autre musées et sites partenaires;2 Rue du rempart Saint Lazare - 84 000 Avignon;;Gratuit;www.edis-fondsdedonation.fr;f;;04.90.27.09.10;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845439.1810739706;6318813.109136716;4.81199069380965;43.95330158180783;43.95330158180783;4.81199069380965
90;2019;14;Hotel Montaigu Compagnon du Tour de France;;;"
Faire découvrir ou redécouvrir un lieu d’exception, longtemps fermé au public, et qui abrite depuis bientôt cinquante ans la Maison des Compagnons du Tour de France. 

Permettre au plus grand nombre de venir admirer quelques 200 « Chefs d’œuvre » exposés, de visiter l’Hôtel de Montaigu, bâtiment du XVII eme siècle, propriété de la ville et classé au titre des Monuments Historiques, avec entre autre son escalier grandiose dit à « l’impériale ». 

Egalement venir à la rencontre des Compagnons vivants sur place, qui vous parlerons du Compagnonnage d’hier et d’aujourd’hui, sans oublier un personnage emblématique, Agricole Perdiguier, véritable icône du Compagnonnage du XIX eme siècle.
";Entrée libre ;;;;Autre musées et sites partenaires;37 rue du Four de la Terre;;Gratuit;;f;;;;;20190510104153;20190510104153;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme d'un fichier XLS
- Données intégrées dans le SIG";;manuelle;1;;t;84007-nuitMusees2019;845056.3054581777;6318499.591833494;4.807132831403484;43.9505597326895;43.9505597326895;4.807132831403484
