gid;code_lot;nom;secteur;sous_secteur;horaires_site;observations;num_voie;lib_voie;ville;code_crige;statut;accessibilite;gardiennage;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_insee;meta_siren;meta_genealogie;meta_resolution;meta_licence;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"";"N03033";"LES VERGERS URBAIN V";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"RUE DU VICE LEGAT";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845153.2344969471";"6318507.826794306";"4.80834231470857";"43.950613856039645";"43.950613856039645";"4.80834231470857"
"";"N03019";"JARDIN PUBLIC L'OREE D'AVIGNON";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"RUE DE LA SORGUE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"848203.0290084406";"6318677.264306597";"4.846372789117132";"43.95150319983273";"43.95150319983273";"4.846372789117132"
"";"N03004";"PARC DE L'ABBAYE ST RUF";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"AVENUE DU MOULIN NOTRE DAME";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845579.6488861657";"6316502.093177349";"4.813079138985061";"43.93247980370797";"43.93247980370797";"4.813079138985061"
"";"N03006";"JARDIN PETRAMALE";"ESPACES VERTS";"PARCS ET JARDINS";"Ouverture 7h30 / fermeture à 17h30 de décembre à janvier,- 18h00 en novembre et décembre, à 18h30 en octobre- 19h00 en mars, - 20h00 durant les mois de septembre, avril et mai, - 21h00 durant les mois de juin, juillet et août";"";"";"RUE PETRAMALE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845251.323552483";"6317976.420787374";"4.80941221879423";"43.945812428462524";"43.945812428462524";"4.80941221879423"
"";"N03040";"SQUARE CHANTAL LAMOUROUX";"";"PARCS ET JARDINS";"accès libre";"Géométrie à revoir";"";"AVENUE DE LA FOLIE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"847241.417577565";"6318112.949914223";"4.8342336893855835";"43.94662762725024";"43.94662762725024";"4.8342336893855835"
"";"N03016";"JARDIN PLACE DE LA 1ERE ARMEE D'AFRIQUE";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"PLACE DE LA 1ERE ARMEE RHIN DANUBE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"846048.2392629767";"6317112.301233076";"4.819088044820588";"43.937872978563306";"43.937872978563306";"4.819088044820588"
"";"N03035";"PARC SAINT CHAMAND";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"AVENUE FRANCOIS MAURIAC";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"848272.5133386913";"6316531.621947543";"4.846613114659537";"43.93218392548624";"43.93218392548624";"4.846613114659537"
"";"N03024";"Jardin Musée Calvet";"";"PARCS ET JARDINS";"Horaires :Ouvert tous les jours sauf le mardi de 10h à 13h et de 14h à 18hFermé les 1er janvier, 1er mai et 25 décembreTarif plein = 6 eurosTarif réduit = 3 euros";"Géométrie à revoir";"";"65 RUE JOSEPH VERNET";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"844820.6010526394";"6318085.686450514";"4.804079622351973";"43.94688420852835";"43.94688420852835";"4.804079622351973"
"";"N03018";"ROCHER DES DOMS JARDINS";"ESPACES VERTS";"PARCS ET JARDINS";"Ouverture 8h / fermeture à 17h30 de décembre à janvier- 18h00 en novembre et décembre, à 18h30 en octobre- 19h00 en mars - 20h00 durant les mois de septembre, avril et mai - 21h00 durant les mois de juin, juillet et août ";"";"";"MONTEE JEAN XXIII";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845118.1134270455";"6318734.951346193";"4.807969699462562";"43.95266460022301";"43.95266460022301";"4.807969699462562"
"";"N03034";"JARDIN SIXTE ISNARD";"ESPACES VERTS";"PARCS ET JARDINS";"accès libre";"";"";"AVENUE DE LA TRILLADE";"Avignon";"";"réalisé";"";"";"20170620162850";"20170620162850";"";"Mairie Avignon";"84007";"218400075";"Croisement des données  de la base patrimoine avec la base des espaces verts";"1/500";"Licence Ouverte (LO)";"t";"845843.6431775278";"6317464.883060414";"4.816641635891987";"43.94108761623687";"43.94108761623687";"4.816641635891987"
