id;nom;type;ref_arrete;date_arrete;type_arrete;statut;resp_integration;code_lot;nb_places;surface;www;temps_a_pied;observations;annee_liste;festival_liste;festival_payant;annee_payant;annee_tarif;festival_tarif;annee_bus;festival_bus;meta_insee;meta_siren;meta_millesime;meta_datcreat;meta_datsupp;meta_datmaj;meta_source;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
1;PARKING ESPACE SCALACTA;P gratuit;;;;OK;MAIRIEAVIGNON/SIG;J03014;0;t;;;;t;t;f;f;Zone bleue;Zone bleue;;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;850262.2707003099;6316835.868179905;4.871474489973708;43.93449969762595;43.93449969762595;4.871474489973708
2;PARKING CHARLES FAVIER;P gratuit;;;;OK;MAIRIEAVIGNON/SIG;J03015;0;t;;;;t;t;f;f;Zone bleue;Zone bleue;;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;850231.5612962071;6316880.673600743;4.871105377013629;43.93490936272306;43.93490936272306;4.871105377013629
3;PARKING RUE FERRUCE;P autocars gratuit;;;;OK;MAIRIEAVIGNON/SIG;J03027;11;t;;;"PERIODE FESTIVAL
**Fermé aux autocars durant le festival**
stationnement des autocars au parking P+R Ile Piot (autocars) via le pont de l'Europe
AUTRES PERIODES
gratuit";f;t;f;f;;;;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844954.02199203;6318775.611623256;4.805937645479027;43.95306422415053;43.95306422415053;4.805937645479027
4;DEPOSE CARS BENEZET;P autocars gratuit;;;;OK;MAIRIEAVIGNON/SIG;;14;t;;;"PERIODE FESTIVAL
Parking bus dépose minute - 15 minutes maximum
au-delà, stationnement des autocars au parking P+R Ile Piot (autocars) via le pont de l'Europe";f;t;t;t;;;;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844796.6206248091;6318695.535207111;4.803954524816514;43.95237612903224;43.95237612903224;4.803954524816514
5;PARKING DES MARAICHERS;P+R gratuit;;;;OK;MAIRIEAVIGNON/SIG;;330;t;;;"PERIODE FESITVAL
Surveillé tous les jours de 8h à 2h
AUTRES PERIODES";f;t;f;f;gratuit;gratuit;"PERIODE FESITVAL
Laissez votre voiture et rejoignez le centre-ville gratuitement* en bus TCRA
Lignes : 1,3,6 bus toutes les 5' vers le centre ville jusqu'à 20h
Après 20h jusqu'à 1h lignes 1 et 3, bus toutes les 20'
*A l'entrée du parking, vous recevrez gratuitement un titre aller et retour.
AUTRES PERIODES";"PERIODE FESITVAL
Laissez votre voiture et rejoignez le centre-ville gratuitement* en bus TCRA
Lignes : 1,3,6 bus toutes les 5' vers le centre ville jusqu'à 20h
Après 20h jusqu'à 1h lignes 1 et 3, bus toutes les 20'
*A l'entrée du parking, vous recevrez gratuitement un titre aller et retour.
AUTRES PERIODES";84007;218400075;2016;20150526152000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;847724.9300873677;6316389.231873218;4.83975457463608;43.93101784962907;43.93101784962907;4.83975457463608
6;PARKING AUTOCARS FESTIVAL;P autocars payant;;;;OK;MAIRIEAVIGNON/SIG;;50;t;;;"AUTRES PERIODES
fermé";f;t;t;t;"PERIODE FESTIVAL UNIQUEMENT
Parking surveillé de 8h à 2h
forfait unique 15 € / jour (uniquement CB)
Service fonctionnant 7 jours sur 7";"PERIODE FESTIVAL UNIQUEMENT
Parking surveillé de 8h à 2h
forfait unique 15 € / jour (uniquement CB)
Service fonctionnant 7 jours sur 7";;;84007;218400075;2016;20150526152000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;843887.7364393614;6317811.937050938;4.792385218928193;43.944612380193284;43.944612380193284;4.792385218928193
7;PARKING DE L'EPI;P gratuit;;;;OK;MAIRIEAVIGNON/SIG;J03031;45;t;;10 minutes des remparts;;t;t;f;f;gratuit;gratuit;lignes 4 et 9;lignes 4 et 9;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;846211.7567169741;6317587.466653555;4.8212604793621505;43.94211421975205;43.94211421975205;4.8212604793621505
8;Parking gare d'Avignon TGV P2 P3 - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-p2-p3-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430163453;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;843212.5580153522;6315268.830666769;4.78326219528894;43.921868976157086;43.921868976157086;4.78326219528894
9;Parking gare d'Avignon TGV courte durée P1 - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-tgv-courte-duree-p1-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430163903;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;843542.800715331;6315383.006772098;4.787405103431037;43.92282905008864;43.92282905008864;4.787405103431037
10;Parking gare d'Avignon TGV P5 - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-tgv-p5-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430164138;;20190430165241;Mairie Avignon/Circulation;t;84007-parkings;843642.6881150819;6315137.561530467;4.78857926667018;43.92060037925326;43.92060037925326;4.78857926667018
11;PARKING PALAIS DES PAPES;P payant;;;;OK;MAIRIEAVIGNON/SIG;J03002;825;f;;;;t;t;t;t;"1/4 h : 0,40€ 
Forfait soirée 3 € de 20 h à 1 h 
Tarif nuit : 6 € de 20 h à 8 h
1 journée : 16,20 €";"1/4 h : 0,40€ 
Forfait soirée 3 € de 20 h à 1 h 
Tarif nuit : 6 € de 20 h à 8 h
1 journée : 16,20 €";;;84007;218400075;2016;20140422000000;;20160317100928;Mairie Avignon/Circulation;t;84007-parkings;844958.4807443928;6318726.3307399005;4.8059791363306985;43.952619911152084;43.952619911152084;4.8059791363306985
12;Parking gare d'Avignon TGV P4 - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-tgv-p4-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430165241;;20190502094608;Mairie Avignon/Circulation;t;84007-parkings;843272.6507023686;6315123.940521409;4.783969452664607;43.920553156046076;43.920553156046076;4.783969452664607
13;Parking gare d'Avignon TGV (dépose minute) courte durée - EFFIA;P payant;;;;OK;;;;f;https://www.effia.com/parking/parking-gare-davignon-courte-duree-effia?vehicle=AUTO&qty=1&premium=FALSE&electric=FALSE&orderType=default;;;t;t;t;t;;;;;84007;218400075;2019;20190430165703;;20190502094608;Mairie Avignon/Circulation;t;84007-parkings;843303.0976637899;6315264.690948332;4.78438803366911;43.921813324604294;43.921813324604294;4.78438803366911
