id;millesime;num_site;name;name_impression;description;animations;condition_acces;unesco;monument_historique;musee_national;parcours;adresse;logo;tarifs;www;accessibilite;info_mail;info_tel;resa_mail;resa_tel;meta_datcreat;meta_datmaj;meta_datsupp;meta_insee;meta_siren;meta_source;meta_licence;meta_observations;meta_genealogie;meta_mairie_quartier;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
119;2019;1;Démocratie participative;;Exposition  ;« du CME au budget participatif en passant par les conseils de quartier … »;du lundi 3 au vendredi 7 juin;;;;Semaine du developpement durable 2019;Péristyle de l'Hôtel de Ville, Place de l'Horloge;;Entrée gratuite;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844932.1961818979;6318361.963599451;4.805548;43.9493470000223;43.9493470000223;4.805548
120;2019;2;Balise de mesure de la radioactivité atmosphérique ;;Visite;la CRIIRAD propose de vous faire découvrir son activité de surveillance radiologique dans l’environnement du secteur d’Avignon et visiter les équipements mis en place à la mairie d’Avignon;lundi 3 juin de 14h à 17h;;;;Semaine du developpement durable 2019;RDV péristyle de l'Hôtel de Ville;;Entrée gratuite;;non;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844847.8467138469;6318377.595932731;4.804501999999999;43.94950500002229;43.94950500002229;4.804501999999999
121;2019;3;Biodiversité;;Exposition  ; «  Insectes ? … Vous avez dit Insectes » : présentation d’insectes exotiques;du mardi 4 au vendredi 7 juin;;;;Semaine du developpement durable 2019;Musée Requien;;Entrée gratuite;;oui pour l'exposition temporaire, non pour l'étage du musée;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844768.7886465411;6318066.696362764;4.8034289999999995;43.946724000022286;43.946724000022286;4.8034289999999995
122;2019;4;Balise de mesure de la radioactivité aquatique;;Visite;Visite de la borne de contrôle de la radioactivité dans l'eau par la Criirad;mardi 4 juin de 10h à 13h;;;;Semaine du developpement durable 2019;barrage évacuateur de crues de Villeneuve-lès-Avignon, sur la D780 à l’ile des Papes, entrée au niveau de la barrière avant l’entrée du camping Campéole Ile des Papes. ;;Entrée gratuite sur inscription aurpès de  : corinne.payan@grandavignon.fr;;non;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;845677.960470551;6320564.047492516;4.815466;43.96900600002224;43.96900600002224;4.815466
123;2019;5;Consommation durable;;« consommer autrement », la consommation de l’achat aux déchets.;La Ville en Transition c’est aussi consommer autrement en devenant un consom’acteur et un éco-citoyen. Venez découvrir les associations et autres acteurs de l’Economie Sociale et Solidaire que soutient la Ville d’Avignon sur les thématiques de : la finance éthique, l’agriculture urbaine, les déchets (tri, zéro déchets, sur-cyclage, compost), alimentation et circuits-courts, supermarché coopératif…;mercredi 5 juin de 9h à 17h;;;;Semaine du developpement durable 2019;Place Pie et le long des Halles;;Entrée gratuite;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;845310.268942121;6318178.674349757;4.810204;43.9476200000223;43.9476200000223;4.810204
124;2019;6;Biodiversité : parcours botanique;;Course d’orientation sur les fruits et les légumes;;mercredi 5 juin à 15h;;;;Semaine du developpement durable 2019;Base de Loisirs de la Barthelasse, allées Antoine Pinay;;Entrée gratuite, durée 1 heure;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844386.901979211;6319002.821591443;4.798939;43.95522500002226;43.95522500002226;4.798939
125;2019;7;Forum Nature en Ville;; Les animaux aux Jardins;"Les enjeux contemporains de lutte contre l’érosion de la biodiversité dans les jardins publics et dans la ville suivi d'une conférence ""Secrets d'abeilles""
Les enjeux contemporains de lutte contre l’érosion de la biodiversité dans les jardins publics et dans la ville";jeudi 6 juin de 9h à 20h;;;;Semaine du developpement durable 2019;Salle des Fêtes de l'Hotel de Ville;;Entrée gratuite sur inscription auprès de fabienne.speno@mairie-avignon.com ;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844908.982819627;6318341.20444555;4.805253;43.94916500002228;43.94916500002228;4.805253
126;2019;8;Biodiversité : le Village;;Le premier village dédié à la biodiversité;Il est proposé à tous (petits, grands, scolaires, collégiens, lycéens, étudiants, en famille ou de manière indépendante) un espace dans un écrin de nature urbaine, d’éducation et de sensibilisation au développement durable dont l’objectif ultime est de construire une relation entre les Avignonnaises et Avignonnais, la nature, sa biodiversité essentiellement faunistique et, en résonnance avec le Forum Avignon Ville Nature et les rendez-vous aux jardins ;vendredi 7 juin de 10h à 17h;;;;Semaine du developpement durable 2019;Square Agricol Pergiguier;;Entrée gratuite;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844999.3852627166;6317832.895567228;4.806234000000001;43.9445730000223;43.9445730000223;4.806234000000001
127;2019;9;Ville apaisée;;DÉTENTE / STREET ART / MASSAGE / DÉCOUVERTE ;A travers la transformation de ses espaces publics, la ville veut montrer que le réaménagement urbain peut conduire à une ville plus apaisée, plus modérée, plus sécurisante, plus civique, qui laisse plus de place aux rencontres, à la détente, à la convivialité et améliore ainsi le cadre de vie des citoyens.;vendredi 7 juin de 10h à 18h;;;;Semaine du developpement durable 2019;Place de l'Horloge;;Entrée gratuite;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;844963.4392471922;6318368.680008765;4.805939000000001;43.9494010000223;43.9494010000223;4.805939000000001
128;2019;10;Fête du Vélo / Mobilités douces;;stands et animations;En ce jour de fête nationale du vélo, plusieurs animations vous seront proposées autour des mobilités douces. ;samedi 8 juin de 10h à 17h;;;;Semaine du developpement durable 2019;Parc de la Cantonne Montfavet;;Entrée gratuite;;;;;;;20190509143333;20190509143333;;84007;218400075;Mairie Avignon / Pôle Vivre Ensemble / DPT Culture;LO;;"- Données fournies par le service métier sous forme de 2 couches (localisation et contenu des manifestations)
- Intégration par le SIG de la collectivité";;manuelle;1;;t;84007-seddRdvjardins2019;850373.2435047594;6316903.221374755;4.872876000000001;43.93508200002233;43.93508200002233;4.872876000000001
