id;idemprise;idarrete;shorturl;arretesrcid;collectivitelibelle;collectiviteid;collectiviteagencelibelle;collectiviteagenceid;documenttype;arretedebut;arretefin;empriseno;emprisetype;emprisedebut;emprisefin;mesures;localisations;idagence;publicationinternet;categoriesmodele;nommodele;parametresarrete;parametresemprise;parametresmesures;datecreation;datemodification;meta_millesime;meta_source;meta_resolution;meta_insee;meta_siren;meta_observations;meta_genealogie;meta_licence;meta_mairie_quartier;meta_iris_id;meta_200x200_id;meta_datcreat;meta_datmaj;meta_datsupp;geocod_methode;geocod_fiability;geocod_real_address;osm_node_id;osm_way_id;osm_rel_id;meta_actif;arretes_type;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
90250;10246;850039765;https://dl.sogelink.fr/?4u9jNDpy;20-AT-1182;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20201124000000;20201127000000;2;DEVIATION;2020-11-24T00:00:00Z;2020-11-27T00:00:00Z;Déviation;" RUE COLLEGE DE LA CROIX; RUE BONNETERIE; RUE GRIVOLAS";86177;t;Travaux;;;;;20201116085431.367;20201116085431.82;2020;;;84007;218400075;;;LO;;;;;20220319002520;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845316.0622861242;6318114.773290165;4.810257898710039;43.947043869861986;43.947043869861986;4.810257898710039
95360;19719;850053874;https://dl.sogelink.fr/?iAVKVfj8;21-AT-0579;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20210531000000;20210705000000;3;CIRCULATION;2021-05-31T00:00:00Z;2021-07-05T00:00:00Z;Circulation alternée;FACE AU 74 AVENUE DES SOURCES;86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 28/05/2021 00:00:00 ; Date de réception de la demande : 28/05/2021 00:00:00 ; Date de début de l'arrêté : 31/05/2021 00:00:00 ; Date de fin de l'arrêté : 05/07/2021 00:00:00 ; Description des travaux : de réhabilitation du collecteur d'Eaux Usées ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : NORD ROCADE";Dates de l'emprise : Du 31/05/2021 00:00:00 au 05/07/2021 00:00:00;"Circulation alternée | type d'alternat : feux ; Circulation alternée | longueur maximale alternat : 0";20210528093740.133;20210528093740.549;2021;;;84007;218400075;;;LO;;;;;20220319002615;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845942.5962583511;6316647.222608224;4.8176393651531715;43.93371047161427;43.93371047161427;4.8176393651531715
94272;10246;850039765;https://dl.sogelink.fr/?4u9jNDpy;20-AT-1182;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20201124000000;20201127000000;2;DEVIATION;2020-11-24T00:00:00Z;2020-11-27T00:00:00Z;Déviation;" RUE COLLEGE DE LA CROIX; RUE BONNETERIE; RUE GRIVOLAS";86177;t;Travaux;;;;;20201116085431.367;20201116085431.82;2020;;;84007;218400075;;;LO;;;;;20220319002520;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845316.0622861242;6318114.773290165;4.810257898710039;43.947043869861986;43.947043869861986;4.810257898710039
91338;19719;850053874;https://dl.sogelink.fr/?iAVKVfj8;21-AT-0579;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20210531000000;20210705000000;3;CIRCULATION;2021-05-31T00:00:00Z;2021-07-05T00:00:00Z;Circulation alternée;FACE AU 74 AVENUE DES SOURCES;86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 28/05/2021 00:00:00 ; Date de réception de la demande : 28/05/2021 00:00:00 ; Date de début de l'arrêté : 31/05/2021 00:00:00 ; Date de fin de l'arrêté : 05/07/2021 00:00:00 ; Description des travaux : de réhabilitation du collecteur d'Eaux Usées ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : NORD ROCADE";Dates de l'emprise : Du 31/05/2021 00:00:00 au 05/07/2021 00:00:00;"Circulation alternée | type d'alternat : feux ; Circulation alternée | longueur maximale alternat : 0";20210528093740.133;20210528093740.549;2021;;;84007;218400075;;;LO;;;;;20220319002615;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845942.5962583511;6316647.222608224;4.8176393651531715;43.93371047161427;43.93371047161427;4.8176393651531715
94273;10254;850039778;https://dl.sogelink.fr/?ltMO2PMU;20-AT-1185;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20201116000000;20201231000000;1;STATIONNEMENT;2020-11-16T00:00:00Z;2020-11-27T00:00:00Z;"Rétrécissement temporaire de largeur de voie;Mesure libre stationnement";"18 RUE SAINT-CHARLES;84 RUE GUILLAUME PUY;2 RUE PORTAIL MAGNANEN;59 RUE PORTAIL MAGNANEN; RUE SAINT-MICHEL, AU NIVEAU DE LA PORTE ST MICHEL ;1 PLACE DES CORPS SAINTS;11 RUE VELOUTERIE; RUE DE LA REPUBLIQUE AU N° 34;1 PASSAGE DE L'ORATOIRE";86177;t;Travaux;;;;;20201116094611.788;20201116094612.244;2020;;;84007;218400075;;;LO;;;;;20220319002520;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845097.2287763788;6317890.411612694;4.807468792599999;43.9450703396223;43.9450703396223;4.807468792599999
95362;19721;850053874;https://dl.sogelink.fr/?iAVKVfj8;21-AT-0579;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20210531000000;20210705000000;5;CIRCULATION;2021-05-31T00:00:00Z;2021-07-05T00:00:00Z;Circulation alternée;70 AVENUE DE L'ARROUSAIRE AUX ABORDS DU GIRATOIRE, SUR LA VOIE DE DROITE DANS LE SENS ARROUSAIRE/AVENUE DES SOURCES NORD;86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 28/05/2021 00:00:00 ; Date de réception de la demande : 28/05/2021 00:00:00 ; Date de début de l'arrêté : 31/05/2021 00:00:00 ; Date de fin de l'arrêté : 05/07/2021 00:00:00 ; Description des travaux : de réhabilitation du collecteur d'Eaux Usées ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : NORD ROCADE";Dates de l'emprise : Du 31/05/2021 00:00:00 au 05/07/2021 00:00:00;"Circulation alternée | type d'alternat : feux ; Circulation alternée | longueur maximale alternat : 0";20210528093740.133;20210528093740.549;2021;;;84007;218400075;;;LO;;;;;20220319002615;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845889.911160693;6316680.990183748;4.8169931069;43.93402519592233;43.93402519592233;4.8169931069
95364;19809;850053968;https://dl.sogelink.fr/?pTn0w6fo;21-AT-0582;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20210531000000;20210604000000;2;DEVIATION;2021-05-31T00:00:00Z;2021-06-04T00:00:00Z;Déviation;" RUE PALAPHARNERIE; RUE REMPART DE LA LIGNE; RUE BANASTERIE";86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 28/05/2021 00:00:00 ; Date de réception de la demande : 28/05/2021 00:00:00 ; Date de début de l'arrêté : 31/05/2021 00:00:00 ; Date de fin de l'arrêté : 04/06/2021 00:00:00 ; Description des travaux : de finalisation pour la mise en discrétion des câbles aériens, dans le cadre du projet de requalification de la rue Banasterie ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : CENTRE VILLE";Dates de l'emprise : Du 31/05/2021 00:00:00 au 04/06/2021 00:00:00;;20210528144139.712;20210528144140.171;2021;;;84007;218400075;;;LO;;;;;20220319002615;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845240.298997473;6318603.201970418;4.809453821943222;43.95145402604956;43.95145402604956;4.809453821943222
94274;10255;850039778;https://dl.sogelink.fr/?ltMO2PMU;20-AT-1185;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20201116000000;20201231000000;2;CIRCULATION;2020-11-16T00:00:00Z;2020-12-31T00:00:00Z;Rétrécissement temporaire de largeur de voie; ROUTE DE MORIERES ET DIVERSES VOIES DE L'EXTRA MUROS;86177;t;Travaux;;;;;20201116094611.788;20201116094612.244;2020;;;84007;218400075;;;LO;;;;;20220319002520;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;847262.2686737988;6318685.6037088195;4.8346590641321265;43.951775557264334;43.951775557264334;4.8346590641321265
97219;52681;850092426;https://dl.sogelink.fr/?ORe3fHzJ;22-AT-0211;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20220310000000;20220310000000;1;CIRCULATION;2022-03-10T00:00:00Z;2022-03-10T00:00:00Z;Circulation interdite;11 RUE BERTRAND;86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 23/02/2022 00:00:00 ; Date de réception de la demande : 23/02/2022 00:00:00 ; Date de début de l'arrêté : 10/03/2022 00:00:00 ; Date de fin de l'arrêté : 10/03/2022 00:00:00 ; Description des travaux : sur réseaux ou ouvrages d'eau potable ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : CENTRE VILLE";Dates de l'emprise : Du 10/03/2022 00:00:00 au 10/03/2022 00:00:00;Circulation interdite | dérogations : riverains;20220228102810.334;20220228102810.903;2022;;;84007;218400075;;;LO;;;;;20220319002805;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845293.519890209;6318613.511494651;4.810119577800001;43.95153580702229;43.95153580702229;4.810119577800001
91342;19809;850053968;https://dl.sogelink.fr/?pTn0w6fo;21-AT-0582;MAIRIE D 'AVIGNON;;AVIGNON;;ARRETE TEMPORAIRE;20210531000000;20210604000000;2;DEVIATION;2021-05-31T00:00:00Z;2021-06-04T00:00:00Z;Déviation;" RUE PALAPHARNERIE; RUE REMPART DE LA LIGNE; RUE BANASTERIE";86177;t;Travaux;AC2 - Arrêté temporaire travaux;"Date d'envoi de la demande : 28/05/2021 00:00:00 ; Date de réception de la demande : 28/05/2021 00:00:00 ; Date de début de l'arrêté : 31/05/2021 00:00:00 ; Date de fin de l'arrêté : 04/06/2021 00:00:00 ; Description des travaux : de finalisation pour la mise en discrétion des câbles aériens, dans le cadre du projet de requalification de la rue Banasterie ; ajout annexe : N ; chargé de MEP de la signalisation : Le demandeur de l'acte ; CHOIX SECTEURS : CENTRE VILLE";Dates de l'emprise : Du 31/05/2021 00:00:00 au 04/06/2021 00:00:00;;20210528144139.712;20210528144140.171;2021;;;84007;218400075;;;LO;;;;;20220319002615;;;;;;;;;travaux impactant la circulation;84007-travauxArretes;845240.298997473;6318603.201970418;4.809453821943222;43.95145402604956;43.95145402604956;4.809453821943222
