id;projet_reference;projet_adresse;projet_libelle;projet_date_demande;projet_statut;convention_reference;convention_date;convention_url;travaux_statut;travaux_date_fin_prev;travaux_date_fin_reelle;visite_date;site_statut;visite_suivi;photo_url;meta_mairie_quartier;meta_datcreat;meta_datmaj;meta_datsupp;meta_siren;meta_insee;meta_source;meta_genealogie;meta_licence;meta_observations;geocod_methode;geocod_fiability;geocod_real_address;meta_actif;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
100;2018001;jardin des monnaies;création jardin partagé;20160210;terminé;;20160201;;{terminé};;20160527;;;;;Avignon Intra muros;20180731112533;20180801143232;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845263.1851966114;6317799.284331434;4.809509370964332;43.944216240004614;43.944216240004614;4.809509370964332
126;2018028;91 rue de la Bonneterie;bacs fournis par le demandeur;20170322;terminé;;;;{terminé};20170630;20171125;;;;;Avignon Intra muros;20180731112533;20180802145831;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845414.6286416806;6318060.786565596;4.811469921155447;43.946537795669016;43.946537795669016;4.811469921155447
197;2018005;1 avenue des champs palustresresidence Le Guardian;pleine terre;20160712;terminé;;20160701;;{terminé};;20180101;20180105;planté;;;Avignon Sud rocade;20180731112533;20180806145518;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845770.5126626645;6315822.6354108555;4.815260858741821;43.92632715094754;43.92632715094754;4.815260858741821
144;2018046;Asso Avenir les Olivades     2rue Louis Valayer;à étudier;;terminé;;;;{analyse};;20170308;;non planté;;;Avignon Sud rocade;20180731112533;20180806145949;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.371289;Rue Louis Valayer 84000 Avignon;t;84007-vegetalisationParticipative;845975.6935104723;6316063.19233251;4.817884000000001;43.92844900002217;43.92844900002217;4.817884000000001
105;2018007;1 rue petramale;mise à dispo jardinière;20160214;terminé;;20160101;;{demande travaux};;;;;;;Avignon Intra muros;20180731112533;20180802145808;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845212.567400906;6318058.286248096;4.808952956641191;43.94655698449573;43.94655698449573;4.808952956641191
101;2018002;6 rue du tambourin;labour pleine terre ;20160211;terminé;;20160301;;{terminé};20160601;20160615;20180606;planté;;;Avignon Sud rocade;20180731112533;20180806150102;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845679.7974263253;6315642.142927039;4.814079963227049;43.92472199487035;43.92472199487035;4.814079963227049
107;2018009;7 rue des lavandes;vegetalisation en pied de lampadaire;;terminé;;;;terminé;;;;;;;Avignon Sud rocade;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.66441363;7 Rue des Lavandes 84000 Avignon;t;84007-vegetalisationParticipative;846982.1273625601;6315560.83295429;4.830268000000001;43.92372000002236;43.92372000002236;4.830268000000001
110;2018012;26 rue de l'aigarden;végétalisation pleine terre;20160610;terminé;;;;terminé;;20170515;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.67740536;26 Rue de l'Aigarden 84000 Avignon;t;84007-vegetalisationParticipative;845314.1897089587;6317804.539258113;4.810145999999999;43.94425300002231;43.94425300002231;4.810145999999999
111;2018013;le long du boulevard G. CLEMENCEAU;Installation de jardinières construites et pose reseau d'eau;20161001;terminé;;;;terminé;20170530;;;;;;Avignon Nord rocade;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.45191514;Boulevard Georges Clemenceau 84000 Avignon;t;84007-vegetalisationParticipative;846293.5774083643;6316719.947616945;4.82203;43.934292000022324;43.934292000022324;4.82203
113;2018015;rue des Provençales;végétalisation pleine terre;20160701;terminé;;;;{terminé};;;;;;;Avignon Sud rocade;20180731112533;20180807100338;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;846341.622497896;6315673.241554708;4.822327366608614;43.924864659025666;43.924864659025666;4.822327366608614
131;2018033;63 rue du Portail Magnanen;pied de façade = bacs à plantes;;terminé;;;;terminé;20171125;;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.64446366;63 Rue Portail Magnanen 84000 Avignon;t;84007-vegetalisationParticipative;845483.890823876;6317744.412869336;4.8122419999999995;43.943677000022305;43.943677000022305;4.8122419999999995
137;2018039;10 rue du chapeaux rouge;mise à dispo de jardinieres ;;terminé;;;;terminé;;;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.60866696;10 Rue Chapeau Rouge 84000 Avignon;t;84007-vegetalisationParticipative;845386.7602821772;6318257.229751737;4.811179;43.94831100002227;43.94831100002227;4.811179
139;2018041;48 Rue bonneterie;pied de façade;;terminé;;;;terminé;;;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.66476744;48 Rue Bonneterie 84000 Avignon;t;84007-vegetalisationParticipative;845257.0173852104;6318147.666765539;4.809532;43.947352000022285;43.947352000022285;4.809532
141;2018043;10 place de la Principale;Instalation Jardiniere pied de vitrine;;terminé;;;;;;20171125;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.63125527;Place de la Principale 84000 Avignon;t;84007-vegetalisationParticipative;845091.0329014899;6318186.321805758;4.807476000000001;43.94773400002231;43.94773400002231;4.807476000000001
142;2018044;16 place de la principale;Instalation Jardiniere pied de vitrine;;terminé;;;;;;20171125;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.63125527;Place de la Principale 84000 Avignon;t;84007-vegetalisationParticipative;845091.0329014899;6318186.321805758;4.807476000000001;43.94773400002231;43.94773400002231;4.807476000000001
146;2018048;Le Potard    Place Principale;Instalation Jardiniere Terrasse;20171203;terminé;;;;;;20171221;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.45922726;Place de la Principale 84000 Avignon;t;84007-vegetalisationParticipative;845091.0329014899;6318186.321805758;4.807476000000001;43.94773400002231;43.94773400002231;4.807476000000001
102;2018003;64 rue du joli ramage;végétalisation pleine terre;20160426;terminé;;20160501;;terminé;;20160501;;;;;Avignon Est;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.6852;64 Rue du Joli Ramage 84000 Avignon;t;84007-vegetalisationParticipative;847826.3101485689;6318301.439806348;4.841572;43.94820100002229;43.94820100002229;4.841572
109;2018011;4 rue de la grande monnaie;végétalisation pleine terre;20160610;terminé;;;;terminé;;20170515;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.5792091;4 Rue Grande Monnaie 84000 Avignon;t;84007-vegetalisationParticipative;845222.9650118512;6317772.883727904;4.809001000000001;43.943987000022304;43.943987000022304;4.809001000000001
138;2018040;44/46 Rue Bonneterie;pied de façade;;terminé;;;;terminé;;;;;;;Avignon Intra muros;20180731112533;20180801110947;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;ban;0.60887647;46 Rue Bonneterie 84000 Avignon;t;84007-vegetalisationParticipative;845242.0994850707;6318153.882403234;4.809348000000001;43.94741100002232;43.94741100002232;4.809348000000001
198;2018049;voisin d'à coté. 164 rue Carreterie;vegetalisation en pied d'arbre;20171130;terminé;;;;{terminé};;;;;;;Avignon Intra muros;20180731112533;20180802150236;;218400075;84007;Mairie Avignon / Dpt Modernisation / Ville durable;;LO;;manuelle;1;;t;84007-vegetalisationParticipative;845984.5201858486;6318594.106273321;4.818719706620783;43.95121832906601;43.95121832906601;4.818719706620783
