id;nature;couleur;nb_places;date_realisation;observations;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_source;meta_actif;meta_resolution_spatiale;meta_licence;meta_observations;meta_genealogie;nom_fic;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
497;;;;;ch des canaux;84007;;20190424171132;20190425122043;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;845864.8061297302;6318065.445451113;4.817077264395964;43.946486633730295;43.946486633730295;4.817077264395964
11;;;;;ch des canaux & viarhona temporaire;84007;;20161017140717;20190424165541;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;845972.4101196512;6318028.828290272;4.818406739948541;43.94613488939701;43.94613488939701;4.818406739948541
469;;;;;ch des canaux & viarhona temporaire;84007;;20190424165541;20190424165541;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;848646.4770698771;6318348.907487937;4.8517995020566085;43.94845546754196;43.94845546754196;4.8517995020566085
365;;;;;;84007;;20190424113120;20190424113459;;Mairie Avignon / Pôle Paysages Urbains / Aménagement Mobilité;t;;;;;84007-veloVoies;848218.2047386596;6318020.383551247;4.8463704622588795;43.94558993247031;43.94558993247031;4.8463704622588795
1;;;;;;84007;;20181018171633;20190424114634;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;848701.6578333485;6318009.683623403;4.8523875585720875;43.94539177059209;43.94539177059209;4.8523875585720875
371;;;;;;84007;;20190424114546;20190424114818;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;848920.1585242397;6317970.370830635;4.85509693402051;43.9449919078047;43.9449919078047;4.85509693402051
2;;;;;;84007;;20181018171635;20190424174635;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;849735.580700715;6317810.5399144525;4.865203850363688;43.94338103024481;43.94338103024481;4.865203850363688
3;;;;;;84007;;20181018171635;20190524151327;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;850334.2215877263;6316518.557685965;4.87227659384432;43.93162949717114;43.93162949717114;4.87227659384432
872;;;;;;84007;;20190524151327;20190524151327;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;850360.2126309861;6316062.878354513;4.872465617570788;43.92752420017395;43.92752420017395;4.872465617570788
4;;;;;;84007;;20181018171635;20190424190438;;Mairie Avignon;t;;LO;;Données calées de la topo;84007-veloVoies;850384.081122614;6315856.595063598;4.872701831994447;43.92566317735079;43.92566317735079;4.872701831994447
